Location_name,Item_type,x,y,z,Friendly Name,Description,Map View,Location Name,Region,Notes,Accesibility (Vanilla/First),Alternatives,"Ideas, Communication"
,,,,Main Items:,100.00%,,All items,97.94%,,,None,"If only access to region is required, fill in none",
BP_UnlockMap_2,ShopItem,-49419.47656,-45276.13672,4421.882813,Map,BP_UnlockMap_C,SupraMap,on top of tower,Blue_Crystal_After_Gate,20 coins,BuyBelt_C,,
BuyBelt2_2,ShopItem,20230.72656,16689.02344,803.8145142,Float Buckle,BuyBelt_C,SupraMap,Shop,Blueville,120 coins,,,
BuyChestDetector_30,ShopItem,44738.70313,27170.04688,1335.69397,Chest Detector,BuyChestDetector_C,SupraMap,Chest Detector Shop,Before_Boss,400 coins,Belt & Translocator,,
BuyChestDetectorRadius,ShopItem,175.2574615,-33748.22656,-208.8917236,Chest Detector Radius x2,BuyChestDetectorRadius_C,SupraMap,Shop - Credits,Redville,474 coins,Event:MeatBag,,
BuyDoubleJump2,ShopItem,20346.30078,17104.06641,804.47052,Double Jump,BuyDoubleJump_C,SupraMap,Shop,Blueville,15 coins,,,
BuyDoubleJump_786,ShopItem,-14.85610676,-33901.05859,-208.236145,Double Jump,BuyDoubleJump_C,SupraMap,Shop - Barrel at lava,Redville,36 Coins,BuyForceBlock_C,With Sponge,
BuyForceBeamGold,ShopItem,20384.51563,17283.32031,802.7789307,Force Beam Gold Module,BuyForceBeamGold_C,SupraMap,Shop,Blueville,5 coins,,,
BuyForceBlock3,ShopItem,20281.40625,16903.8125,803.8145142,Force Cube,BuyForceBlock_C,SupraMap,Shop,Blueville,40 coins,,,
BuyForceBlock_695,ShopItem,135.0901031,-33724.125,-208.8921509,Force Cube,BuyForceBlock_C,SupraMap,Shop - Barrel at launcher,Desert1,20 Coins,BuySword_C,None,The barrel can easily be taken with you | No Sword needed
BuyGun2_2,ShopItem,20279.54688,16804.07422,803.8143311,Mighty MacGuffin,BuyGun1_C,SupraMap,Shop,Blueville,60 coins,,,
BuyGunAlt_478,FoundItem,-26882.90039,-41463.00781,-1070,2nd Fire,BuyGunAlt_C,SupraMap,in lockerrooms,Suprafield,has event,RedPlankItems & GunProg ,,
BuyGunCriticalDamage_1496,ShopItem,-736.9744873,2690.83252,128.9107666,Gun Critical damage,BuyGunCriticalDamage_C,SupraMap,Shop - Standard,Farm,25 coins,,,
BuyGunCriticalDamageChance2_1856,ShopItem,-18338.43359,-37136.22266,-1138.084595,Gun Fire Critical Damage Chance +5%,BuyGunCriticalDamageChance_C,SupraMap,Shop - Standard,Surprafield,10 coins,,,
BuyGunCriticalDamageChance3_3189,ShopItem,10155.48633,22096.91211,-18.22405243,Gun Fire Critical Damage Chance +5%,BuyGunCriticalDamageChance_C,SupraMap,Shop - Standard,Rattlehag,20 coins,,,
BuyGunCriticalDamageChance4_198,ShopItem,-67209.08594,52516.84375,1099.707764,Gun Fire Critical Damage Chance +5%,BuyGunCriticalDamageChance_C,SupraMap,Shop,Carrot_Town,20 coins,,,
BuyGunCriticalDamageChance_1426,ShopItem,-12802.74219,-11419.55371,-1690.391724,Gun Fire Critical Damage Chance +5%,BuyGunCriticalDamageChance_C,SupraMap,Shop ,Before_Chapel,10 coins,,,
BuyGunDamage+15_1234,ShopItem,-23101.93164,-11550.875,-1660.38208,Gun damage +15,BuyGunDamage+15_C,SupraMap,Shop - Red barrel on wall,After_Chapel1,120 coins,3x Prog:WalletIncrease & HeightIncrease8,,
BuyGunDamage+5_235,ShopItem,9879.46582,21814.56641,-20,Gun damage +5,BuyGunDamage+5_C,SupraMap,Shop - Standard,Rattlehag,120 coins,Prog:WalletIncrease,,
BuyGunRefillSpeed+66_478,ShopItem,-18389.73828,-36879.91406,-1075.470581,Ammo Refill Speed +66%,BuyGunRefillSpeed+66_C,SupraMap,Shop - Standard,Suprafield,30 coins,,,
BuyGunRefillSpeed+67_198,ShopItem,-67205.35156,52239.375,1105.300171,Ammo Refill Speed +66%,BuyGunRefillSpeed+66_C,SupraMap,Shop,Carrot_Town,250 coins,Prog:WalletIncrease,,
BuyGunRefillSpeedx2_374,ShopItem,9621.985352,21487.06836,-20,Ammo Refill Speed +66%,BuyGunRefillSpeed+66_C,SupraMap,Shop - Standard,Rattlehag,190 coins,Prog:WalletIncrease,,
BuySilentFeet2,ShopItem,-23095.52148,-12392.74121,-1668.999756,Ammo Refill Speed +66%,BuyGunRefillSpeed+66_C,SupraMap,Shop - Red Barrel in House,After_Chapel1,40 coins,Prog:WalletIncrease & Chest91 & Before_Chapel,,
BuyGunRefireRate50_506,ShopItem,-23100.38477,-11320.35938,-1663.258667,Gun cooldown halfed,BuyGunRefireRate50_C,SupraMap,Shop - Red Barrel in trees,After_Chapel1,140 coins,4x Prog:WalletIncrease,,
BuySilentFeet_902,ShopItem,-23095.03516,-12244.09473,-1722.122681,Gun cooldown halfed,BuyGunRefireRate50_C,SupraMap,Shop - Standard,After_Chapel1,40 coins,Prog:WalletIncrease,,
BuyGunSpeedx2_436,ShopItem,-23131.41992,-11697.0459,-1740.813477,Gun Projectile Speed x2,BuyGunSpeedx2_C,SupraMap,Shop - Barrel near stomp,After_Chapel1,5 coins,After_Chapel4 & ProgGun2 & BuyForceCube_C,,
BuyHealth+15_765,ShopItem,275.4439087,-33490.23047,-208.8921509,Max Health +15,BuyHealth+15_C,SupraMap,Shop - Barrel on lever,Redville,10 coins,BuyForceBlock_C,BuyBelt_C + HeightIncrease5,
BuyHealth+16_457,ShopItem,-23116.85156,-11908.50977,-1713.567261,Max Health +15,BuyHealth+15_C,SupraMap,Shop - White Barrel,After_Chapel1,,Before_Chapel & (BuyBelt_C or After_Chapel2),,
BuyHealth+17,ShopItem,9757.632813,21667.54883,-20,Max Health +15,BuyHealth+15_C,SupraMap,Shop - Standard,Rattlehag,150 coins,Prog:WalletIncrease,,
BuyHealth+5,ShopItem,-583.0960083,2127.868896,323.401062,Max Health +5,BuyHealth+5_C,SupraMap,Shop - Standard,Farm,35 coins,Prog:WalletIncrease,,
BuyHealthRegen2_695,ShopItem,-67.00196838,-34003.71875,-208.8922119,Health Regeneration,BuyHealthRegen_C,SupraMap,Shop - Barrel behind Red Planks,Redville,5 coins,BuySword_C,RedPlankItems,
BuyHealthRegenMax10_330,ShopItem,9971.342773,21912.97852,-20,Health Regeneration +10,BuyHealthRegenMax10_C,SupraMap,Shop - Standard,Rattlehag,180 coins,Prog:WalletIncrease,,
BuyHealthRegenMax5_1162,ShopItem,-67206.46875,52018.39453,1099.708374,Health Regeneration +5,BuyHealthRegenMax5_C,SupraMap,Shop,Carrot_Town,40 coins,Prog:WalletIncrease,,
BuyShieldBreaker_1026,ShopItem,-18442.46289,-36682.95703,-1137.511963,Shield Breaker,BuyShieldBreaker_C,SupraMap,Shop - Standard,Suprafield,35 coins,Prog:WalletIncrease,,
BuyShowProgress2_2,ShopItem,-584.6096191,2154.035645,194.1477356,Awesome-Meter,BuyShowProgress_C,SupraMap,Shop - Standard,Farm,1 coin,,,
BuySmashdownDamage+33,ShopItem,-67252.44531,51529.32422,1072.819092,Stomp Damage +33%,BuySmashdownDamage+33_C,SupraMap,Shop,Carrot_Town,50 coins,Prog:WalletIncrease,,
BuySpeedx15_2,ShopItem,18.94021606,-33893.21875,-208.892395,Speed x1.5,BuySpeedx15_C,SupraMap,Shop - Credits,Redville,223 coins,Event:MeatBag,,
BuySpeedx2_206,ShopItem,80.78148651,-33804.83203,-210.2398682,Speed x2,BuySpeedx2_C,SupraMap,Shop - Standard,Redville,12 Coins,,,
BuyStats,FoundItem,-1665.05481,-35623.22266,-195.502533,Stats,BuyStats_C,SupraMap,Stats,Redville,,Event:MeatBag,,
BuySword2_2,ShopItem,17819.99609,9486.499023,589.0853271,Supra Sword,BuySword2_C,SupraMap,Moon Sword,Desert3,,RedMoons,,
BuySword_695,FoundItem,-1988.614624,-33098.06641,-2059.210205,Sword,BuySword_C,SupraMap,Sword,Introduction,Item in Introduction,,,
BuySwordCriticalDamageChance2_2395,ShopItem,-18478.12109,-36483.71875,-1062.85083,Critical Damage Chance +5%,BuySwordCriticalDamageChance_C,SupraMap,Shop - Standard,Suprafield,10 coins,,,
BuySwordCriticalDamageChance3_296,ShopItem,-67199.39844,51767.75,1104.10083,Critical Damage Chance +5%,BuySwordCriticalDamageChance_C,SupraMap,Shop,Carrot_Town,10 coins,,,
BuySwordCriticalDamageChance_1657,ShopItem,-733.5379639,2393.044189,128.910614,Critical Damage Chance +5%,BuySwordCriticalDamageChance_C,SupraMap,Shop - Standard,Farm,10 coins,,,
BuySwordDamage+11,ShopItem,16.50209045,-33958.28906,-208.8918762,Sword Damage +1,BuySwordDamage+1_C,SupraMap,Shop - Standard,Redville,5 Coins,,,
BuySwordDamage+10_2,ShopItem,333.5240173,-33530.83984,-208.8918762,Sword Damage +3,BuySwordDamage+3_C,SupraMap,Shop - Standard,Redville,65 Coins,2x Prog:WalletIncrease,,
UpgradeSwordDamageX2_716,ShopItem,-23106.60352,-12066.69336,-1670.889648,Sword Damage +3,BuySwordDamage+3_C,SupraMap,Shop - Barrel on stump,After_Chapel1,40 coins,BuyGun_C & Prog:WalletIncrease,,
